,Default,checkingstatus1,duration,history,purpose,amount,savings,employ,status,others,residence,property,age,otherplans,housing,cards,job,liable,foreign
0,0,0,-1.2301668550330533,4,3,-0.7312684965589699,4,4,2,0,4,0,2.7363032971177677,2,1,1.0342230879313794,2,1.0,0
1,1,1,2.225973058296881,2,3,0.9363840405982737,0,2,1,0,2,0,-1.1898600178463077,2,1,-0.6983868084555068,2,1.0,0
2,0,3,-0.7364325817002055,4,6,-0.40799080899210144,0,3,2,0,3,0,1.1658379711321374,2,1,-0.6983868084555068,1,2.0,0
3,0,0,1.732238784964033,2,2,1.6097920391868636,0,3,2,2,4,1,0.816845676468664,2,2,-0.6983868084555068,2,2.0,0
4,1,0,0.25103596496548986,3,0,0.559401106121699,0,2,2,0,4,3,1.5148302657956108,2,2,1.0342230879313794,2,2.0,0
5,0,3,1.2385045116311852,2,6,2.018858627661445,4,2,2,0,4,3,-0.05563506019001937,2,2,-0.6983868084555068,1,2.0,0
6,0,3,0.25103596496548986,2,2,-0.15027537089941992,2,4,2,0,4,1,1.5148302657956108,2,1,-0.6983868084555068,2,1.0,0
7,0,1,1.2385045116311852,2,1,1.2840732040331904,0,2,2,0,2,2,-0.05563506019001937,2,0,-0.6983868084555068,3,1.0,0
8,0,3,-0.7364325817002055,2,3,-0.0721586481216653,3,3,0,0,4,0,2.2128148551225575,2,1,-0.6983868084555068,1,1.0,0
9,1,1,0.7447702382983376,4,0,0.6863407806355503,0,0,3,0,2,2,-0.6663715758510977,2,1,1.0342230879313794,3,1.0,0
10,1,1,-0.7364325817002055,2,0,-0.6873278399964828,0,1,1,0,1,2,-0.9281157968487027,2,0,-0.6983868084555068,2,1.0,0
11,1,0,2.225973058296881,2,9,0.3634118284382254,0,1,1,0,4,1,-1.015363870514571,2,0,-0.6983868084555068,2,1.0,0
12,0,1,-0.7364325817002055,2,3,-0.592471819480638,0,2,1,0,1,2,-1.1898600178463077,2,1,-0.6983868084555068,2,1.0,0
13,1,0,0.25103596496548986,4,0,-0.7208064354726634,0,4,2,0,4,2,2.125566781456689,2,1,1.0342230879313794,1,1.0,0
14,0,0,-0.4895654450337817,2,0,-0.6496644200857797,0,2,1,0,4,2,-0.6663715758510977,2,0,-0.6983868084555068,2,1.0,0
15,1,0,0.25103596496548986,2,3,-0.691861399800549,1,2,1,0,2,2,-0.3173792811876244,2,1,-0.6983868084555068,1,1.0,0
16,0,3,0.25103596496548986,4,3,-0.2936056077818179,4,4,2,0,4,1,1.5148302657956108,2,1,1.0342230879313794,2,1.0,0
17,0,0,0.7447702382983376,0,9,1.6760517594001376,4,1,2,0,3,2,-0.9281157968487027,0,1,2.7668329843182655,2,1.0,0
18,1,1,0.25103596496548986,2,1,3.2478020699329053,0,4,1,0,2,3,0.7295976028027957,2,2,-0.6983868084555068,3,1.0,0
19,0,3,0.25103596496548986,2,3,0.05722217397899078,2,4,2,0,2,2,-0.4046273548534927,2,1,-0.6983868084555068,2,2.0,0
20,0,3,-0.9832997183666294,4,0,-0.3947388649494466,0,2,2,0,4,2,1.078589897466269,2,1,2.7668329843182655,2,1.0,0
30,0,1,-0.24269830836735784,2,9,-0.4718093816185706,3,1,3,0,3,0,0.031613013475848974,0,1,-0.6983868084555068,2,1.0,0
31,0,0,0.25103596496548986,2,2,0.2629760420096837,0,2,2,0,2,2,-0.753619649516966,1,1,-0.6983868084555068,2,1.0,0
32,0,1,-0.24269830836735784,2,0,0.9067415341870722,1,2,2,0,2,2,-0.49187542851936106,2,1,1.0342230879313794,2,1.0,0
33,0,3,-0.7364325817002055,4,9,-0.6981386364523329,4,4,2,0,4,3,1.8638225604590841,2,0,-0.6983868084555068,1,1.0,0
34,0,2,-0.7364325817002055,2,2,-0.6249042088481879,0,1,1,0,1,1,-0.23013120752175603,0,1,-0.6983868084555068,3,1.0,0
35,1,1,1.979105921630457,4,3,0.5161579202982991,0,1,2,0,2,1,-0.9281157968487027,2,1,1.0342230879313794,1,1.0,0
36,0,3,2.225973058296881,4,6,0.9918329643556978,0,2,2,0,3,3,-0.4046273548534927,0,2,-0.6983868084555068,2,1.0,0
37,1,2,-0.24269830836735784,2,3,-0.40659586751392723,0,2,2,1,2,0,0.11886108714171731,1,1,-0.6983868084555068,2,1.0,0
38,0,2,-0.9010106728111548,2,4,-0.7117393158645312,0,2,2,0,2,2,0.11886108714171731,2,1,-0.6983868084555068,2,1.0,0
39,0,1,-0.9832997183666294,2,3,-0.979219344304432,0,2,2,0,3,0,-1.015363870514571,2,1,-0.6983868084555068,2,1.0,0
40,0,3,0.7447702382983376,2,3,-0.32534052641028066,2,4,2,0,2,2,-0.49187542851936106,0,1,-0.6983868084555068,3,1.0,0
41,0,1,-0.7364325817002055,2,3,-0.7351045856239489,2,2,0,0,1,2,-0.8408677231828344,2,1,-0.6983868084555068,2,1.0,0
42,0,1,-0.24269830836735784,3,5,1.0246140890927913,0,2,2,0,4,0,0.7295976028027957,2,1,-0.6983868084555068,1,2.0,0
43,0,0,0.7447702382983376,4,1,1.018685587810551,1,3,3,0,4,2,-1.015363870514571,2,0,1.0342230879313794,2,1.0,0
44,1,0,2.225973058296881,4,1,1.0033412315506347,0,4,1,0,4,3,1.9510706341249524,1,2,1.0342230879313794,1,1.0,0
